,primary_title,rating
636,Action Point,15%
637,Left Behind,16%
638,My Big Fat Greek Wedding 2,27%
639,The Perfect Guy,18%
640,Soul Surfer,45%
641,Uncle Drew,61%
642,Blue Jasmine,91%
643,Miele,100%
644,Ricki and the Flash,65%
645,Love the Coopers,18%
646,Fame,84%
647,Der Kreis,100%
648,127 Hours,93%
649,Norm of the North,9%
650,Jobs,28%
651,And So It Goes,18%
652,Getaway,3%
653,Hamlet,100%
654,The Railway Man,66%
655,Miss Sloane,76%
656,Metallica Through the Never,79%
657,Unforgettable,21%
658,I Am Wrath,11%
659,Wolves,25%
660,Forsaken,7%
661,Red Lights,83%
662,Black Nativity,50%
663,City of Ghosts,47%
664,A Quiet Place,96%
665,The Best Man Holiday,71%
666,Pitch Perfect,80%
667,Evil Dead,95%
668,Almost Christmas,49%
669,Beastly,21%
670,The Apparition,3%
671,Genius,71%
672,Crawl,63%
673,The Young Messiah,49%
674,Moonrise Kingdom,94%
675,The Artist,95%
676,The Roommate,3%
677,Bleed for This,70%
678,The Homesman,81%
679,Zulu,96%
680,The Imitation Game,90%
681,Diary of a Wimpy Kid,54%
682,BlacKkKlansman,96%
683,Krampus,66%
684,End of Watch,85%
685,Wild,50%
686,Drive,68%
687,The Favourite,93%
688,When the Game Stands Tall,20%
689,Home Again,58%
690,Ramona and Beezus,70%
691,The November Man,35%
692,The Place Beyond the Pines,78%
693,Keanu,77%
694,Country Strong,22%
695,A Most Wanted Man,87%
696,The Man with the Iron Fists,51%
697,Miss Bala,87%
698,Killing Them Softly,73%
699,The Founder,80%
700,Dark Blue,59%
701,Queen of Katwe,93%
702,Promised Land,92%
703,Hotel Artemis,58%
704,Scouts Guide to the Zombie Apocalypse,44%
705,You Will Meet a Tall Dark Stranger,46%
706,Rock the Kasbah,7%
707,Never Let Me Go,60%
708,The Disappointments Room,0%
709,The Comedian,50%
710,The Reluctant Fundamentalist,57%
711,The Return,96%
712,Centurion,61%
713,The Son of No One,15%
714,Khumba,44%
715,A Few Best Men,15%
716,In Dubious Battle,30%
717,Broken Horses,25%
718,Blinded by the Light,89%
719,Magic Mike XXL,65%
720,The Possession,39%
721,Superstar,57%
722,The Iron Lady,52%
723,Our Family Wedding,15%
724,Hot Tub Time Machine 2,13%
